Portfolios,f(X1),f(X2),f(X3),f(X4),Portfolio Expected Return,Portfolio Risk
Portfolio 1,0,0,0,1,0.2,0.95
Portfolio 2,0,0,0.1,0.9,0.192,0.617888
Portfolio 3,0,0,0.2,0.8,0.184,0.381552
Portfolio 4,0,0,0.3,0.7,0.176,0.240992
Portfolio 5,0,0,0.4,0.6,0.168,0.196208
Portfolio 6,0,0,0.5,0.5,0.16,0.2472
Portfolio 7,0,0,0.6,0.4,0.152,0.178208
Portfolio 8,0,0,0.7,0.3,0.144,0.168992
Portfolio 9,0,0,0.8,0.2,0.136,0.219552
Portfolio 10,0,0,0.9,0.1,0.128,0.329888
Portfolio 11,0,0,1,0,0.12,0.5
Portfolio 12,0,0.1,0,0.9,0.188,0.617655
Portfolio 13,0,0.1,0.1,0.8,0.18,0.475468
Portfolio 14,0,0.1,0.2,0.7,0.172,0.257356
Portfolio 15,0,0.1,0.3,0.6,0.164,0.13502
Portfolio 16,0,0.1,0.4,0.5,0.156,0.10846
Portfolio 17,0,0.1,0.5,0.4,0.148,0.10396
Portfolio 18,0,0.1,0.6,0.3,0.14,0.09452
Portfolio 19,0,0.1,0.7,0.2,0.132,0.144856
Portfolio 20,0,0.1,0.8,0.1,0.124,0.254968
Portfolio 21,0,0.1,0.9,0,0.116,0.326029
Portfolio 22,0,0.2,0,0.8,0.176,0.38062
Portfolio 23,0,0.2,0.1,0.7,0.168,0.257123
Portfolio 24,0,0.2,0.2,0.6,0.16,0.191872
Portfolio 25,0,0.2,0.3,0.5,0.152,0.08776
Portfolio 26,0,0.2,0.4,0.4,0.144,0.079424
Portfolio 27,0,0.2,0.5,0.3,0.136,0.06976
Portfolio 28,0,0.2,0.6,0.2,0.128,0.119872
Portfolio 29,0,0.2,0.8,0,0.112,0.204116
Portfolio 30,0,0.3,0,0.7,0.164,0.238895
Portfolio 31,0,0.3,0.1,0.6,0.156,0.134088
Portfolio 32,0,0.3,0.2,0.5,0.148,0.087527
Portfolio 33,0,0.3,0.3,0.4,0.14,0.099212
Portfolio 34,0,0.3,0.4,0.3,0.132,0.094712
Portfolio 35,0,0.3,0.5,0.2,0.124,0.065901
Portfolio 36,0,0.3,0.7,0,0.108,0.134261
Portfolio 37,0,0.4,0,0.6,0.152,0.19248
Portfolio 38,0,0.4,0.1,0.5,0.144,0.106363
Portfolio 39,0,0.4,0.2,0.4,0.136,0.078492
Portfolio 40,0,0.4,0.3,0.3,0.128,0.091712
Portfolio 41,0,0.4,0.4,0.2,0.12,0.063988
Portfolio 42,0,0.4,0.5,0.1,0.112,0.069229
Portfolio 43,0,0.4,0.6,0,0.104,0.116464
Portfolio 44,0,0.5,0,0.5,0.14,0.241375
Portfolio 45,0,0.5,0.1,0.4,0.132,0.098863
Portfolio 46,0,0.5,0.2,0.3,0.124,0.057527
Portfolio 47,0,0.5,0.3,0.2,0.116,0.053901
Portfolio 48,0,0.5,0.4,0.1,0.108,0.066229
Portfolio 49,0,0.5,0.5,0,0.1,0.150725
Portfolio 50,0,0.6,0,0.4,0.128,0.16248
Portfolio 51,0,0.6,0.1,0.3,0.12,0.066588
Portfolio 52,0,0.6,0.2,0.2,0.112,0.071872
Portfolio 53,0,0.6,0.4,0,0.096,0.104464
Portfolio 54,0,0.7,0,0.3,0.116,0.118895
Portfolio 55,0,0.7,0.1,0.2,0.108,0.069623
Portfolio 56,0,0.7,0.3,0,0.092,0.086261
Portfolio 57,0,0.8,0,0.2,0.104,0.11062
Portfolio 58,0,0.8,0.1,0.1,0.096,0.107968
Portfolio 59,0,0.8,0.2,0,0.088,0.096116
Portfolio 60,0,0.9,0,0.1,0.092,0.137655
Portfolio 61,0,0.9,0.1,0,0.084,0.134029
Portfolio 62,0,1,0,0,0.08,0.2
Portfolio 63,0.1,0,0,0.9,0.185,0.617578
Portfolio 64,0.1,0,0.1,0.8,0.177,0.475428
